index,Unnamed: 0,Plate_ID,Row,Col,New_ID,Golden_Gate_Enzyme,Payload_Name,PTag_1_ID,PTag_2_ID,Oralgen Gene ID,GI,Locus,VIMSS (MicrobesOnline #),GeneID,colony_growth,liquid_growth,quivey_successful,quivey_essential,RawMaxOD,TimeMaxOD,PredVMax,TimePredVMax,PassColony,PassLiquid,PassMaxOD,PassTimeMaxOD,PassVMax,PassTimeVMax,PassAll,Pass5,Pass4,Pass3,0-index
393,393,5,B,2,SMU_340,BsaI,Payload_2,Tag_24,Tag_93,307.0,24378838.0,SMU.340,VIMSS295141,1027896.0,N,N,N,Y,0.1,2.75306,4.85042082039254e-16,1.00306,False,False,False,False,False,False,False,False,False,False,393
405,405,5,F,3,SMU_352,BsaI,Payload_2,Tag_107,Tag_137,318.0,24378849.0,SMU.352,VIMSS295152,1029440.0,N,N,Y,N,0.107,22.75306,8.432188160930789e-22,1.00306,False,False,False,True,False,False,False,False,False,False,405
406,406,5,G,3,SMU_353,BsaI,Payload_2,Tag_62,Tag_167,319.0,24378850.0,SMU.353,VIMSS295153,1029049.0,N,N,Y,N,0.103,13.50306,9.06043861525468e-17,1.00306,False,False,False,True,False,False,False,False,False,False,406
410,410,5,C,4,intergenic_89,BsaI,Payload_2,Tag_65,Tag_183,,,,,,N,N,,,1.461,22.75306,0.318545312567614,18.06306,False,False,True,True,True,True,False,False,True,True,410
411,411,5,D,4,SMU_357,PaqCI,Payload_8,Tag_27,Tag_95,323.0,24378854.0,SMU.357,VIMSS295157,1027907.0,N,N,N,Y,0.098,2.75306,1.65559722794102e-21,1.00306,False,False,False,False,False,False,False,False,False,False,411
412,412,5,E,4,SMU_358,BsaI,Payload_2,Tag_26,Tag_189,324.0,24378855.0,SMU.358,VIMSS295158,1029529.0,N,N,Y,N,1.545,23.00306,0.343112241477527,18.19306,False,False,True,True,True,True,False,False,True,True,412
413,413,5,F,4,SMU_359,BsaI,Payload_2,Tag_89,Tag_122,325.0,24378856.0,SMU.359,VIMSS295159,1027906.0,N,N,N,?,0.102,2.75306,2.3565887413322002e-21,1.00306,False,False,False,False,False,False,False,False,False,False,413
414,414,5,G,4,intergenic_90,BsaI,Payload_2,Tag_56,Tag_117,,,,,,N,N,,,0.11,3.50333,7.144140588447042e-14,1.00306,False,False,False,False,False,False,False,False,False,False,414
415,415,5,H,4,SMU_360,BsaI,Payload_2,Tag_112,Tag_129,326.0,24378857.0,SMU.360,VIMSS295160,1027909.0,N,N,N,Y,0.095,3.50333,4.444633066528301e-16,1.00306,False,False,False,False,False,False,False,False,False,False,415
417,417,5,B,5,SMU_361,BsaI,Payload_2,Tag_6,Tag_86,327.0,24378858.0,SMU.361,VIMSS295161,1029506.0,N,N,N,?,0.1,7.75306,6.07560294884985e-14,1.00306,False,False,False,True,False,False,False,False,False,False,417
420,420,5,E,5,SMU_363,BsaI,Payload_2,Tag_171,Tag_191,329.0,24378860.0,SMU.363,VIMSS295163,1027911.0,N,Y,Y,N,1.422,13.00306,0.40231224484134,7.39306,False,True,True,True,True,True,False,True,True,True,420
421,421,5,F,5,SMU_364,BsaI,Payload_2,Tag_166,Tag_192,330.0,24378861.0,SMU.364,VIMSS295164,1029365.0,N,N,N,?,1.37,24.00306,0.348746068047727,22.39306,False,False,True,True,True,False,False,False,False,False,421
425,425,5,B,6,SMU_368c,BsaI,Payload_1,Tag_61,Tag_183,334.0,24378865.0,SMU.368c,VIMSS295168,1029401.0,N,N,Y,N,0.104,1.50306,1.8473201583210403e-15,1.00306,False,False,False,False,False,False,False,False,False,False,425
426,426,5,C,6,SMU_369c,BsaI,Payload_1,Tag_32,Tag_34,335.0,24378866.0,SMU.369c,VIMSS295169,1027914.0,N,N,Y,N,1.172,24.00306,0.213049156102525,19.72306,False,False,True,True,True,True,False,False,True,True,426
478,478,5,G,12,SMU_417,BsaI,Payload_2,Tag_167,Tag_177,380.0,24378910.0,SMU.417,VIMSS295213,1027942.0,N,Y,Y,N,1.52,16.50306,0.187152189012215,11.43306,False,True,True,True,True,True,False,True,True,True,478
479,479,5,H,12,SMU_418,BsaI,Payload_2,Tag_42,Tag_55,381.0,24378911.0,SMU.418,VIMSS295214,1029573.0,N,N,N,?,0.084,3.00333,-8.560910062987271e-21,1.00306,False,False,False,False,False,False,False,False,False,False,479
480,480,6,A,1,SMU_419,BsaI,Payload_2,Tag_4,Tag_115,382.0,24378912.0,SMU.419,VIMSS295215,1027940.0,N,N,N,Y,0.086,7.50333,0.0,1.00333,False,False,False,True,False,False,False,False,False,False,480
481,481,6,B,1,SMU_420,BsaI,Payload_2,Tag_179,Tag_185,383.0,24378913.0,SMU.420,VIMSS295216,1027943.0,N,?,Y,N,1.613,23.25333,0.339898342755211,18.46333,False,False,True,True,True,True,False,False,True,True,481
482,482,6,C,1,SMU_421,BsaI,Payload_2,Tag_5,Tag_115,384.0,24378914.0,SMU.421,VIMSS295217,1029572.0,N,N,N,Y,0.098,22.50361,8.00774377804235e-22,1.00333,False,False,False,True,False,False,False,False,False,False,482
488,488,6,A,2,SMU_424,BsaI,Payload_2,Tag_111,Tag_141,387.0,24378917.0,SMU.424,VIMSS295220,1029575.0,?,Y,N,Y,1.798,12.75333,0.333066733943781,8.98333,False,True,True,True,True,True,False,True,True,True,488
507,507,6,D,4,SMU_441,BsaI,Payload_2,Tag_27,Tag_182,402.0,24378931.0,SMU.441,VIMSS295234,1027951.0,N,N,Y,N,0.105,11.00333,3.03776947332303e-28,1.00333,False,False,False,True,False,False,False,False,False,False,507
509,509,6,F,4,SMU_444,BsaI,Payload_2,Tag_79,Tag_102,404.0,24378933.0,SMU.444,VIMSS295236,1029581.0,?,Y,Y,N,1.778,11.50333,0.336839912087001,7.61333,False,True,True,True,True,True,False,True,True,True,509
510,510,6,G,4,SMU_445,PaqCI,Payload_8,Tag_87,Tag_134,405.0,24378934.0,SMU.445,VIMSS295237,1027904.0,?,N,Y,N,0.105,3.00333,1.6376721794982e-12,1.00333,False,False,False,False,False,False,False,False,False,False,510
511,511,6,H,4,SMU_446,BsmBI/Esp3I,Payload_6,Tag_24,Tag_95,406.0,24378935.0,SMU.446,VIMSS295238,1027957.0,?,Y,N,Y,1.544,12.50333,0.32508867282639,7.25333,False,True,True,True,True,True,False,True,True,True,511
519,519,6,H,5,SMU_454,BsaI,Payload_2,Tag_111,Tag_117,413.0,24378942.0,SMU.454,VIMSS295245,1029345.0,N,N,N,Y,0.096,4.50333,1.64071389599244e-17,1.00333,False,False,False,False,False,False,False,False,False,False,519
520,520,6,A,6,SMU_455,BsaI,Payload_2,Tag_43,Tag_80,414.0,24378943.0,SMU.455,VIMSS295246,1028367.0,N,N,Y,N,0.095,7.75333,6.89876038968211e-15,1.00333,False,False,False,True,False,False,False,False,False,False,520
521,521,6,B,6,SMU_456,BsaI,Payload_2,Tag_80,Tag_177,415.0,24378944.0,SMU.456,VIMSS295247,1027963.0,N,N,N,Y,0.102,6.75333,1.13662465372448e-19,1.00333,False,False,False,False,False,False,False,False,False,False,521
531,531,6,D,7,SMU_464,BsaI,Payload_2,Tag_13,Tag_143,423.0,24378952.0,SMU.464,VIMSS295255,1029339.0,N,N,N,Y,0.102,5.25333,5.2524e-320,1.00333,False,False,False,False,False,False,False,False,False,False,531
532,532,6,E,7,SMU_465,BsaI,Payload_2,Tag_120,Tag_146,424.0,24378953.0,SMU.465,VIMSS295256,1027968.0,N,N,N,Y,0.104,2.50333,1.53077872973744e-21,1.00333,False,False,False,False,False,False,False,False,False,False,532
534,534,6,G,7,SMU_467,BbsI,Payload_3,Tag_158,Tag_162,426.0,,,,,N,N,N,?,0.105,4.25333,4.15987572082782e-23,1.00333,False,False,False,False,False,False,False,False,False,False,534
535,535,6,H,7,SMU_469,BsaI,Payload_1,Tag_54,Tag_164,427.0,,,,,N,N,N,?,0.096,5.75333,1.3052293281309401e-17,1.00333,False,False,False,False,False,False,False,False,False,False,535
537,537,6,B,8,SMU_471,BsaI,Payload_2,Tag_38,Tag_47,429.0,24378958.0,SMU.471,VIMSS295261,1027965.0,N,N,N,Y,0.106,5.25333,3.62675467908791e-14,1.00333,False,False,False,False,False,False,False,False,False,False,537
538,538,6,C,8,intergenic_110,BsaI,Payload_2,Tag_71,Tag_153,,,,,,N,N,,,0.108,5.25333,9.540137644563689e-22,1.00333,False,False,False,False,False,False,False,False,False,False,538
543,543,6,H,8,intergenic_111,BsaI,Payload_2,Tag_17,Tag_158,,,,,,N,N,,,0.095,4.25333,3.21039382212894e-18,1.00333,False,False,False,False,False,False,False,False,False,False,543
544,544,6,A,9,SMU_478,BsaI,Payload_2,Tag_70,Tag_149,434.0,24378963.0,SMU.478,VIMSS295266,1029597.0,N,N,N,?,0.098,2.75333,4.31886103249746e-22,1.00333,False,False,False,False,False,False,False,False,False,False,544
547,547,6,D,9,SMU_481,BsaI,Payload_2,Tag_80,Tag_141,437.0,24378966.0,SMU.481,VIMSS295269,1029600.0,N,N,N,Y,0.109,3.25333,5.05215172155353e-27,1.00333,False,False,False,False,False,False,False,False,False,False,547
573,573,6,F,12,SMU_504,BsaI,Payload_2,Tag_17,Tag_56,459.0,24378988.0,SMU.504,VIMSS295291,1027994.0,N,N,N,?,0.101,18.75333,2.22876500351457e-17,1.00333,False,False,False,True,False,False,False,False,False,False,573
588,588,7,E,2,SMU_516,BsaI,Payload_2,Tag_134,Tag_136,470.0,24378999.0,SMU.516,VIMSS295302,1029343.0,N,N,N,Y,0.106,6.75333,1.16489178222284e-19,1.00333,False,False,False,False,False,False,False,False,False,False,588
589,589,7,F,2,SMU_517,BsaI,Payload_2,Tag_38,Tag_153,471.0,24379000.0,SMU.517,VIMSS295303,1027832.0,N,N,Y,N,0.108,6.75333,1.15013944595007e-15,1.00333,False,False,False,False,False,False,False,False,False,False,589
614,614,7,G,5,SMU_540,BsaI,Payload_2,Tag_73,Tag_135,493.0,24379022.0,SMU.540,VIMSS295325,1028018.0,N,N,Y,N,0.109,4.00333,1.07704727884139e-13,1.00333,False,False,False,False,False,False,False,False,False,False,614
615,615,7,H,5,intergenic_123,BsaI,Payload_2,Tag_111,Tag_159,,,,,,N,N,,,0.105,6.25333,4.03633047053341e-24,1.00333,False,False,False,False,False,False,False,False,False,False,615
622,622,7,G,6,SMU_548,BbsI,Payload_4,Tag_9,Tag_105,500.0,24379029.0,SMU.548,VIMSS295332,1029595.0,N,N,Y,N,0.108,4.00333,2.2291689663952302e-24,1.00333,False,False,False,False,False,False,False,False,False,False,622
625,625,7,B,7,SMU_551,BsaI,Payload_2,Tag_18,Tag_76,503.0,24379032.0,SMU.551,VIMSS295335,1029599.0,N,N,Y,N,0.105,4.50333,4.50310721526008e-18,1.00333,False,False,False,False,False,False,False,False,False,False,625
626,626,7,C,7,SMU_552,BsaI,Payload_2,Tag_61,Tag_120,504.0,24379033.0,SMU.552,VIMSS295336,1028023.0,N,N,Y,N,0.11,5.25333,2.96339010909382e-21,1.00333,False,False,False,False,False,False,False,False,False,False,626
633,633,7,B,8,SMU_558,BsmBI/Esp3I,Payload_6,Tag_93,Tag_180,510.0,24379039.0,SMU.558,VIMSS295342,1028027.0,N,N,N,?,0.109,5.50333,2.74647767930284e-20,1.00333,False,False,False,False,False,False,False,False,False,False,633
641,641,7,B,9,SMU_565c,BbsI,Payload_3,Tag_1,Tag_56,516.0,24379045.0,SMU.565c,VIMSS295348,1028030.0,N,N,N,?,0.108,3.25333,2.38470874120584e-19,1.00333,False,False,False,False,False,False,False,False,False,False,641
661,661,7,F,11,SMU_584,BsaI,Payload_2,Tag_85,Tag_150,533.0,24379062.0,SMU.584,VIMSS295365,1029389.0,N,N,N,?,0.117,19.50333,1.14346205882324e-21,1.00333,False,False,False,True,False,False,False,False,False,False,661
667,667,7,D,12,SMU_589,BsaI,Payload_2,Tag_135,Tag_152,538.0,24379067.0,SMU.589,VIMSS295370,1028043.0,N,N,N,?,0.106,16.25333,2.1008664933369e-16,1.00333,False,False,False,True,False,False,False,False,False,False,667
675,675,8,D,1,intergenic_132,BsaI,Payload_2,Tag_52,Tag_98,,,,,,N,N,,,0.109,5.25306,3.423588444864601e-18,1.00333,False,False,False,False,False,False,False,False,False,False,675
676,676,8,E,1,SMU_596,BsaI,Payload_2,Tag_96,Tag_105,545.0,24379074.0,SMU.596,VIMSS295377,1029590.0,N,N,N,?,0.103,5.25306,1.35991484747173e-21,1.00333,False,False,False,False,False,False,False,False,False,False,676
679,679,8,H,1,SMU_598,BsaI,Payload_2,Tag_29,Tag_181,547.0,24379076.0,SMU.598,VIMSS295379,1028050.0,N,N,Y,N,0.085,1.00333,-3.56798101584517e-24,1.00333,False,False,False,False,False,False,False,False,False,False,679
680,680,8,A,2,intergenic_134,BsaI,Payload_2,Tag_15,Tag_122,,,,,,N,N,,,0.098,5.25306,-1.2815574324744e-19,1.00333,False,False,False,False,False,False,False,False,False,False,680
681,681,8,B,2,SMU_599,BsaI,Payload_2,Tag_41,Tag_136,548.0,24379077.0,SMU.599,VIMSS295380,1029384.0,N,N,N,?,0.103,1.25306,4.86996984651549e-20,1.00333,False,False,False,False,False,False,False,False,False,False,681
685,685,8,F,2,SMU_603,BsaI,Payload_2,Tag_107,Tag_124,551.0,24379080.0,SMU.603,VIMSS295383,1028382.0,N,N,N,?,0.105,3.25306,1.56265366808694e-16,1.00333,False,False,False,False,False,False,False,False,False,False,685
694,694,8,G,3,SMU_610,BsaI,Payload_2,Tag_47,Tag_79,558.0,24379087.0,SMU.610,VIMSS295390,1028055.0,N,Y,Y,N,1.541,11.75306,0.365740839640072,6.86333,False,True,True,True,True,True,False,True,True,True,694
713,713,8,B,6,SMU_628,BsaI,Payload_2,Tag_26,Tag_73,572.0,24379101.0,SMU.628,VIMSS295404,1029584.0,N,N,N,Y,0.101,4.75333,1.29222394520415e-17,1.00333,False,False,False,False,False,False,False,False,False,False,713
714,714,8,C,6,SMU_629,BbsI,Payload_4,Tag_41,Tag_111,573.0,24379102.0,SMU.629,VIMSS295405,1029605.0,N,N,Y,N,1.209,21.00333,0.315713526480665,18.53333,False,False,True,True,True,True,False,False,True,True,714
741,741,8,F,9,intergenic_149,BsaI,Payload_2,Tag_18,Tag_48,,,,,,N,N,,,0.107,5.50333,1.03887358207218e-24,1.00333,False,False,False,False,False,False,False,False,False,False,741
742,742,8,G,9,SMU_650,BsaI,Payload_2,Tag_83,Tag_145,594.0,24379123.0,SMU.650,VIMSS295426,1029360.0,N,N,N,?,0.106,5.50333,2.14584077314789e-14,1.00333,False,False,False,False,False,False,False,False,False,False,742
763,763,8,D,12,SMU_667,BbsI,Payload_3,Tag_133,Tag_157,611.0,,,,,N,N,N,Y,0.102,7.00306,2.91080326286059e-16,1.00333,False,False,False,True,False,False,False,False,False,False,763
765,765,8,F,12,SMU_668c,BsaI,Payload_1,Tag_48,Tag_102,612.0,24379141.0,SMU.668c,VIMSS295444,1029366.0,N,N,N,?,0.105,5.25306,4.153736134332711e-15,1.00333,False,False,False,False,False,False,False,False,False,False,765
766,766,8,G,12,SMU_669c,BsaI,Payload_1,Tag_41,Tag_95,613.0,24379142.0,SMU.669c,VIMSS295445,1028087.0,N,N,N,?,0.106,5.75333,4.30707775380849e-17,1.00333,False,False,False,False,False,False,False,False,False,False,766
773,773,9,F,1,SMU_674,BsaI,Payload_2,Tag_101,Tag_120,618.0,24379147.0,SMU.674,VIMSS295450,1029475.0,N,N,N,?,0.101,19.25528,1.0626089773402702e-15,1.00333,False,False,False,True,False,False,False,False,False,False,773
774,774,9,G,1,SMU_675,BsaI,Payload_2,Tag_40,Tag_124,619.0,24379148.0,SMU.675,VIMSS295451,1028092.0,N,N,N,Y,0.103,23.50306,2.4212025957507306e-21,1.00333,False,False,False,True,False,False,False,False,False,False,774
775,775,9,H,1,intergenic_157,BsaI,Payload_2,Tag_128,Tag_167,,,,,,N,?,,,1.678,11.00333,0.354800461986773,6.27333,False,False,True,True,True,True,False,False,True,True,775
776,776,9,A,2,SMU_676,BsaI,Payload_2,Tag_86,Tag_187,620.0,24379149.0,SMU.676,VIMSS295452,1028095.0,N,N,N,?,0.097,2.75333,2.55857981354841e-20,1.00333,False,False,False,False,False,False,False,False,False,False,776
800,800,9,A,5,SMU_697,BsaI,Payload_2,Tag_14,Tag_125,639.0,24379168.0,SMU.697,VIMSS295471,1027826.0,N,N,Y,N,0.108,16.00306,4.42867581747943e-18,1.00333,False,False,False,True,False,False,False,False,False,False,800
801,801,9,B,5,SMU_698,BsaI,Payload_2,Tag_35,Tag_115,640.0,24379169.0,SMU.698,VIMSS295472,1028110.0,N,N,Y,N,0.111,2.75333,7.15092279642545e-74,1.00333,False,False,False,False,False,False,False,False,False,False,801
802,802,9,C,5,SMU_699,BsaI,Payload_2,Tag_23,Tag_132,641.0,24379170.0,SMU.699,VIMSS295473,1028113.0,N,N,N,Y,0.109,2.25306,1.16672689355831e-20,1.00333,False,False,False,False,False,False,False,False,False,False,802
803,803,9,D,5,intergenic_163,BsaI,Payload_2,Tag_14,Tag_130,,,,,,N,N,,,0.128,8.00306,2.51798617214777e-16,1.18333,False,False,False,True,False,False,False,False,False,False,803
